Category,Feature,Description,Notes,Needed?,,
Calendar Integration,iCal URL parsing — backend,Parse student's Canvas iCal feed (.ics) to extract class schedule and busy times; store as structured events in Supabase,Enables study plan generation with schedule awareness; also works with Google Calendar / Apple iCal subscription URLs,"Ability to upload multiple calendars. 
Canvas calendar should be imported automatically. 
At this point, I am thinking if it is appropriate to store everything in database table. Why not look at converting .ical to json and scan against json. The json filename will have user_id_calendardays_to_from_dates_canvas_calendar
Also, as we said, we should allow user to upload personal calendars. These will be through the URL that you have mentioned. ",,
Calendar Integration,iCal settings UI,Settings panel section with step-by-step instructions for copying iCal URL from Canvas → Account → Settings → Calendar Feed; input field to paste URL,One-time setup per student; URL stored in user profile,I can see that the Setting menu will get complicated. Why don�t we introduce Tabs in the settings. Or better organization of the settings menu. Give me a sketch before you implement anything,,
Calendar Integration,Study plan generation,AI generates a time-blocked study schedule using upcoming assignments + class times + user-provided busy windows (e.g. 'Soccer practice 10am-12pm Saturday'),Core use case: 'Plan my week given my assignments and schedule'. Requires calendar integration above.,,,
Right Panel UI,Quizzes / Exams tab,New tab in Right Panel alongside Assignments showing upcoming quizzes and exams; is_exam flag differentiates formal exams from practice quizzes; shows time_limit and points,Data already indexed (source_type=quiz). UI only.,,,
Right Panel UI,Submission Feedback tab,New tab showing teacher comments and rubric scores on the student's own past submissions per course,Data already indexed (source_type=submission_feedback). UI only.,,,
Right Panel UI,Manual course category override,Per-course toggle in sidebar or settings to manually mark a course as Core or Extra-curricular; stored in localStorage; overrides automatic detection,Edge case fix for courses the algorithm misclassifies,,,
Canvas Sync,Auto-index on first login,Automatically trigger Canvas sync + RAG indexing when a student logs in for the first time; currently requires manual sync button press,Phase 1 remaining task. Improves onboarding — student immediately sees content without pressing Sync.,,,
Canvas Sync,Course files PDF indexing,Download and index teacher-uploaded PDF files from Canvas course files (GET /courses/{id}/files); extract text and store as index_chunks,Schema and indexer already support it; need PDF text extraction (pdfplumber / pypdf). API reference §9.,,,
Canvas Sync,Syllabus indexing,Extract and index the syllabus_body HTML field from each course; useful for understanding course structure and grading breakdown,Available in GET /courses/{id} → syllabus_body. Low effort addition to sync.,,,
Canvas Sync,Discussion thread indexing,Index student-visible discussion topic entries (GET /courses/{id}/discussion_topics/{id}/entries) for assignment context,Useful when assignments are discussion-based. Requires initial_post check.,,,
Canvas Sync,Grade opt-in display,Optional grade visibility: student can opt in to see their current Canvas grade in the UI; intentionally off by default to avoid anxiety,Grades are sometimes hidden by teacher. Design carefully — not a gradebook replacement.,,,
Canvas Sync,Canvas sub-account categorization,Use account_id from canvas_data to classify courses as extracurricular when they share a known 'Student Activities' sub-account ID,Most reliable long-term signal once Dwight confirms their sub-account IDs. Complements keyword detection.,,,
Admin,Shared knowledge base — admin upload,School admin UI to upload IB/AP materials (past papers and marking schemes) that are shared across all students of a specific course or programme,Requires shared_materials table (schema exists). Separate from student-private uploads.,,,
Admin,Shared knowledge base — RAG integration,Extend RAG search to include shared_materials table alongside index_chunks and student_materials when answering student questions,Backend change to rag/search.py. Enables 'Here is a past IB Paper 1 question on this topic…',,,
Admin,School admin panel,Web UI for school admins: configure AI provider and model per school; manage feature flags; view usage stats; upload shared materials,Phase 2. Single admin login separate from student auth.,,,
Student Experience,Student PDF / notes upload UI,Frontend UI for students to upload their own PDFs and handwritten notes; text extracted and indexed into student_materials table,Backend indexer and DB schema already built (index_student_material in rag/indexer.py). UI missing.,,,
Student Experience,Adaptive quiz generator,Generate Socratic practice quizzes based on course content and student's weak areas (mastery_scores); port from Lumina v1,Was working in v1. Requires mastery_scores tracking.,,,
Student Experience,Mind map / knowledge graph,Visual mind map of course concepts and their connections; port from Lumina v1,Was working in v1. Nice-to-have for visual learners.,,,
Student Experience,Voice mode,Speech-to-text input and text-to-speech AI responses; port from Lumina v1,Was working in v1. Useful for mobile / accessibility.,,,
Student Experience,Chat session management UI,Visible list of past chat sessions per course with ability to rename and delete; currently sessions exist in DB but no management UI,Sessions are already persisted and restored on course switch. UI polish.,,,
Student Experience,Dark mode,Dark colour scheme toggle in settings; CSS variable-based so theme system already supports it,CSS custom properties are in place — implementation is mainly index.css additions.,,,
Compliance & Auth,Parent consent flow,Email-based parental consent for students under 13 (COPPA); Resend email integration; consent status tracked in parent_links table,Required before accepting under-13 students. parent_links table already in schema.,,,
Compliance & Auth,Canvas OAuth2,Replace manual API key entry with proper OAuth2 flow; requires Developer Key issued by Dwight Canvas admin,Removes friction of manual key generation. Blocked on school admin action.,,,
Compliance & Auth,LTI 1.3 integration,Deep Canvas integration via Learning Tools Interoperability standard; enables roster provisioning and deep linking; requires school IT,Phase 4. Enterprise-grade integration path.,,,
Infrastructure,Deploy to Railway,Containerise and deploy backend + frontend to Railway; configure environment variables and Supabase connection from production,Phase 1 remaining task. Docker files already written.,,,
Infrastructure,AWS ECS Fargate deployment,Alternative deployment on AWS (ECS Fargate + RDS Postgres + Bedrock + S3) for schools that require AWS infrastructure,Phase 5. For enterprise school contracts requiring AWS DPA.,,,
Infrastructure,Background job queue (Celery/Redis),Replace FastAPI BackgroundTasks with proper Celery + Redis queue for Canvas sync and RAG indexing jobs; enables retries and monitoring,Current BackgroundTasks works but has no retry logic. Important before scaling to many students.,,,
Monitoring,Teacher read-only view,Dashboard for teachers to see per-student AI usage patterns and quiz topic breakdowns (not chat content); privacy-preserving,Phase 3. Requires careful privacy design — no chat transcripts exposed.,,,
Monitoring,Audit trail UI,Admin-facing log of key events (logins, syncs, uploads, consent changes) from audit_logs table,audit_logs table already in schema. UI missing.
