Role,Feature,Description,Include? (Y / N / ?),Comments
STUDENT,AI Chat Tutor,Socratic-style tutoring against course content,Y,
STUDENT,Canvas Course Sync,Auto-fetch courses list and basic metadata from Canvas,Y,
STUDENT,Canvas Modules & Pages Sync,Fetch lecture notes and readings from Canvas Modules — primary RAG source,Y,
STUDENT,Canvas Files Sync,Auto-index PDFs and slides uploaded by teacher in Canvas,Y,
STUDENT,Canvas Assignments Sync,Fetch assignment names / due dates / descriptions from Canvas,Y,
STUDENT,Canvas Announcements Sync,Pull teacher announcements into AI context,Y,
STUDENT,Canvas Grades View,Student sees their own submission scores from Canvas,N,"Don�t Duplicate Canvas functionality for a person. Systemcan see or duplicate content from Canvas, but not a person"
STUDENT,Non-Canvas Material Upload,Upload external notes or PDFs not in Canvas (e.g. handwritten notes),Y,"Like a Textbook (uploaded by a student, privately)"
STUDENT,Adaptive Quiz,Generate quizzes with dynamic difficulty based on performance,Y,
STUDENT,Mind Map,Visual knowledge graph built from course material,Y,Some rudimentary form is there right now
STUDENT,Mastery Tracking,Track weak vs strong concepts — feeds from quiz performance and Canvas grades,Y,
STUDENT,Voice Mode,Talk to the AI tutor via microphone (STT/TTS),Y,
STUDENT,Chat History,Persistent chat history per course (not lost on refresh),Y,
STUDENT,Progress Dashboard,Student sees their own quiz scores and mastery over time,Y,
STUDENT,Assignment Reminders,Notifications for upcoming Canvas due dates,N,"again, Canvas already has this, so we will not have a person duplicate locations"
STUDENT,Offline Access,Access previously loaded content without internet,N,because we understand that ChatGPT and all work only with internet
STUDENT,Mobile / PWA,Works on phone or tablet,Y,
TEACHER,Class Dashboard,See all students' mastery scores and quiz performance,N,I need to know how is this different from Canvas uploading of homework assignment
TEACHER,Canvas Enrollments Sync,Know which students are enrolled in which course,N,Available in Canvas
TEACHER,Canvas Submissions View,See student submission history per assignment,N,Available in Canvas
TEACHER,Canvas Grades Sync,Pull submission scores from Canvas to feed mastery tracking,N,
TEACHER,Struggling Student Alerts,Notification when a student's mastery drops below threshold,N,
TEACHER,Per-Student Drill-Down,View individual student's chat history and quiz results,Y,"As a supplementary feedback regarding students. Their primary source is class participation of the student, and submissions to Canvas"
TEACHER,Course Content Indexing,Manually trigger RAG re-indexing of course materials (if auto-sync not sufficient),?,Done by who
TEACHER,Quiz Review,See what questions students are generating and how they perform,Y,
TEACHER,Export Reports,Download class performance report as PDF or CSV,N,
TEACHER,AI Model Visibility,See which AI model is currently active (read-only),N,
DEPT HEAD,Department Overview,Aggregated mastery and performance across all courses in department,Y,
DEPT HEAD,Teacher Activity View,See which teachers are active and class-level stats,N,
DEPT HEAD,Cross-Class Comparison,Compare performance across classes in the same subject,N,
DEPT HEAD,Department Reports,Export department-wide performance reports,N,
IB COORDINATOR,IB Course Tracking,View mastery and performance across all IB courses,Y,
IB COORDINATOR,Cross-Teacher View,See data across all IB teachers regardless of department,Y,
IB COORDINATOR,IB-Specific Reports,Export reports filtered to IB courses only,N,
DEAN OF STUDENTS,Student Wellbeing View,See engagement and mastery trends per student (not grade data),Y,
DEAN OF STUDENTS,At-Risk Student Alerts,Flag students with low engagement or declining performance,N,
DEAN OF STUDENTS,Student-Level Reports,Generate individual student progress reports,N,
PRINCIPAL,School-Wide Dashboard,Top-level view of all departments / courses / students,N,
PRINCIPAL,All Reports Access,Access any report generated by any role,Y,
PRINCIPAL,Role Assignment Approval,Approve or reject role assignments made by school_admin,Y,
SCHOOL ADMIN,User Management,Add / remove / deactivate user accounts,Y,
SCHOOL ADMIN,Role Assignment,Assign Lumina roles (dept_head / coordinator / dean / principal),Y,
SCHOOL ADMIN,AI Model Config,Set the active AI model (provider / model ID / API key),Y,
SCHOOL ADMIN,Canvas API Config,Set school's Canvas instance URL and credentials,Y,
SCHOOL ADMIN,Feature Toggles,Enable or disable features (voice mode / quizzes / mind maps etc),Y,
SCHOOL ADMIN,Usage Monitoring,See API usage / token consumption / cost estimates,Y,
SCHOOL ADMIN,Audit Logs,Log of all admin actions (who changed what and when),Y,
SCHOOL ADMIN,Data Retention Policy,Set how long chat history and quiz data is kept,Y,
PARENT,Consent Flow,Receive consent email and agree to AI usage + risk disclosure,Y,
PARENT,Opt-In Reporting,Choose reporting frequency (weekly / monthly / none),Y,
PARENT,Progress Report View,Read-only view of child's mastery and quiz performance,Y,
PARENT,AI Risk Disclosure,Informed about AI limitations and data usage at consent stage,Y,
PARENT,Withdraw Consent,Ability to revoke consent and remove parent link at any time,Y,
PLATFORM,Single Sign-On (Canvas OAuth),Log in with school Canvas account — no separate password,Y,
PLATFORM,Multi-School / Tenant,Support multiple schools on one deployment with data isolation,N,
PLATFORM,Notifications / Email,Email alerts for reports / alerts / consent,N,
PLATFORM,Dark Mode,UI dark mode (already exists in current build),Y,
PLATFORM,Audit Trail,Log all AI interactions for compliance / review,Y,
PLATFORM,GDPR / Data Privacy,Student data handling compliant with privacy regulations,Y,
